_id,OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,x,y
1,1,4,Turbot St F/S Wharf St (Stop 4),TURBOT ST,Wharf St,502805.7,6962247.3,-27.46330637,153.0283962,SPRING HILL,2 - Intermediate,N,Easy,Easy,Medium,2/6/2018 0:00,502805.7,6962247.3
2,2,5,Ann Street F/S Orient Hotel (Stop 5),ANN ST,Queen St,503022.1,6962290.4,-27.4629168,153.0305863,BRISBANE CITY,3 - Regular with seat,N,Medium,Medium,Hard,,503022.1,6962290.4
3,3,6,Ann St app Wharf St (Stop 6),ANN ST,Creek St,502880.6,6962169,-27.46401311,153.0291545,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502880.6,6962169
4,4,7,Ann St at Anzac Square,ANN ST,Creek St,502623.587,6961944.047,-27.4660445,153.0265537,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502623.587,6961944.047
5,5,8,Central Ann Street Stop 8,ANN ST,Edward St,502569.1,6961895,-27.4664874,153.0260024,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,3/14/2018 12:00:00 AM,502569.1,6961895
6,6,9,Ann St aT KGS ,ANN ST,Edward St,502466.1,6961808,-27.46727303,153.0249601,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,9/26/2017 12:00:00 AM,502466.1,6961808
7,7,276,Ann Street 10A,ANN ST,Albert St,502390.7323,6961740.943,-27.46787855,153.0241974,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,9/26/2017 12:00:00 AM,502390.7323,6961740.943
8,8,11,Ann Street Stop 11,ANN ST,George St,502266.7,6961637.1,-27.46881626,153.0229422,BRISBANE CITY,2 - Intermediate,N,Easy,Easy,Easy,5/23/2018 12:00:00 AM,502266.7,6961637.1
9,9,18,Adelaide St at City Hall (Stop 18),ADELAIDE ST,George St,502293.9,6961530.7,-27.46977679,153.0232177,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502293.9,6961530.7
10,10,19,Adelaide St at City Hall ,ADELAIDE ST,Albert St,502346,6961572,-27.46940385,153.023745,BRISBANE CITY,1 - Premium,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502346,6961572
11,11,20,Adelaide St at City Hall,ADELAIDE ST,Albert St,502393,6961615,-27.46901556,153.0242206,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502393,6961615
12,12,21,Adelaide St @ Res Bank (Stop 21),ADELAIDE ST,Albert St,502452.9,6961669,-27.46852794,153.0248267,BRISBANE CITY,2 - Intermediate,N,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502452.9,6961669
