_id,Centre Code,Centre Name,Centre Type,Centre Status,Host Centre Code,Host Centre Name,Official Low Year Level,Official High Year Level,Officer In Charge Title,School Band,Show Holiday Date,Internet Site,Phone Number,Restrict Contact Outside Teaching Hours,Fax Number,Actual Address Line 1,Actual Address Line 2,Actual Address Line 3,Actual Address Post Code,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Post Code,Education Geographic Region,Federal Electorate,State Electorate,Local Government Area,Statistical Area Level2,Statistical Area Level2 Code,Remoteness Area,Enrolment Effective Date,All Student Count,Campus All Student Count,ABN,Sector,Non-State Sector,Longitude,Latitude
1,5817,A B Paterson College (Arundel),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.abpat.qld.edu.au,(07) 5594 7947,N,(07) 5594 7650,,10 A B Paterson Drive,Arundel,4214,10 A B Paterson Drive,Arundel,,4214,South East,Fadden,Bonney,Gold Coast (C),Arundel,309031235,Major Cities of Australia,,,,,Non-State,Independent,153.360364,-27.927672
2,591,Abercorn State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-08-10T00:00:00,www.abercornss.eq.edu.au,(07) 4167 5190,Y,(07) 4167 5135,,957 Wuruma Dam Road,Abercorn,4627,957 Wuruma Dam Road,Abercorn,,4627,Central Queensland,Flynn,Callide,North Burnett (R),Monto - Eidsvold,319021508,Outer Regional Australia,2019 July,18,,22101246877,State,,151.127031,-25.135955
3,1275,Abergowrie State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-07-03T00:00:00,www.abergowriess.eq.edu.au,(07) 4777 4672,N,(07) 4777 4686,,5 Venables Road,Abergowrie,4850,5 Venables Road,Abergowrie,,4850,North Queensland,Kennedy,Hinchinbrook,Hinchinbrook (S),Ingham Region,318011465,Remote Australia,2019 July,4,,87244066343,State,,145.88351,-18.474697
4,5588,Aboriginal & Islander Independent Community School (Acacia Ridge),Non-State School,Open,,,Prep Year,Year 12,Principal,,,www.murrischool.com,(07) 3255 6133,,(07) 3255 6562,,1277 Beaudesert Road,Acacia Ridge,4110,PO Box 256,Acacia Ridge,,4110,Metropolitan,Moreton,Algester,Brisbane (C),Rocklea - Acacia Ridge,303051076,Major Cities of Australia,,,,,Non-State,Independent,153.025757,-27.581562
5,25,Acacia Ridge State School,State School,Open,,,Early Childhood,Year 6,Principal,8,2020-08-12T00:00:00,www.acaciaridgess.eq.edu.au,(07) 3717 4111,N,(07) 3717 4100,,Nyngam Street,Acacia Ridge,4110,Nyngam Street,Acacia Ridge,,4110,Metropolitan,Moreton,Algester,Brisbane (C),Rocklea - Acacia Ridge,303051076,Major Cities of Australia,2019 July,379,,99285094765,State,,153.016074,-27.579554
6,1983,Agnes Water State School,State School,Open,,,Prep Year,Year 6,Principal,7,2020-05-28T00:00:00,www.agneswaterss.eq.edu.au,(07) 4902 1333,N,,,1 Donohue Drive,Agnes Water,4677,PO Box 238,Agnes Water,,4677,North Coast,Flynn,Burnett,Gladstone (R),Agnes Water - Miriam Vale,308051530,Outer Regional Australia,2019 July,222,,98271783313,State,,151.91056,-24.213972
7,598,Airville State School,State School,Open,,,Prep Year,Year 6,Principal,5,2020-06-24T00:00:00,www.airvilless.eq.edu.au,(07) 4790 7333,N,(07) 4790 7300,,Old Clare Road,Airville,4807,MS 54,Ayr,,4807,North Queensland,Dawson,Burdekin,Burdekin (S),Burdekin,318011461,Outer Regional Australia,2019 July,11,,17752636684,State,,147.347629,-19.65519
8,801,Aitkenvale State School,State School,Open,,,Prep Year,Year 6,Principal,8,2020-07-06T00:00:00,www.aitkenvaless.eq.edu.au,(07) 4421 2333,N,(07) 4725 5989,,67-85 Wotton Street,Aitkenvale,4814,PO Box 50,Aitkenvale,,4814,North Queensland,Herbert,Mundingburra,Townsville (C),Aitkenvale,318021467,Outer Regional Australia,2019 July,524,,61019412758,State,,146.763058,-19.296785
9,2155,Albany Creek State High School,State High School,Open,,,Year 7,Year 12,Principal,11,2020-08-10T00:00:00,www.albanycreekshs.eq.edu.au,(07) 3325 6333,N,(07) 3325 6300,,Albany Forest Drive,Albany Creek,4035,PO Box 40,Albany Creek,,4035,Metropolitan,Dickson,Everton,Moreton Bay (R),Albany Creek,314011382,Major Cities of Australia,2019 July,1367,,54535033957,State,,152.968606,-27.357634
10,190,Albany Creek State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-08-10T00:00:00,www.albanycreekss.eq.edu.au,(07) 3264 0111,N,(07) 3264 0100,,696 Albany Creek Road,Albany Creek,4035,696 Albany Creek Road,Albany Creek,,4035,Metropolitan,Dickson,Everton,Moreton Bay (R),Albany Creek,314011382,Major Cities of Australia,2019 July,850,,22367474023,State,,152.970666,-27.34586
11,1892,Albany Hills State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-08-10T00:00:00,www.albahillss.eq.edu.au,(07) 3264 0777,N,(07) 3264 0700,,Keong Road,Albany Creek,4035,PO Box 378,Albany Creek,,4035,Metropolitan,Dickson,Everton,Moreton Bay (R),Albany Creek,314011382,Major Cities of Australia,2019 July,855,,63211059809,State,,152.97278,-27.36034
12,5636,Albert Park Flexible Learning Centre (Milton),Non-State School,Open,,,Year 11,Year 12,Principal,,,www.youthplus.edu.au,(07) 3071 9010,,(07) 3327 2217,,1 Hale Street,Milton,4064,1 Hale Street,Milton,,4064,Metropolitan,Brisbane,McConnel,Brisbane (C),Brisbane City,305011105,Major Cities of Australia,,,,,Non-State,Catholic,153.010813,-27.4659
13,38,Albert State School,State School,Open,,,Prep Year,Year 6,Principal,6,2020-05-22T00:00:00,www.albertss.eq.edu.au,(07) 4120 0888,N,(07) 4120 0800,,210-220 Albert Street,Maryborough,4650,210-220 Albert Street,Maryborough,,4650,North Coast,Wide Bay,Maryborough,Fraser Coast (R),Maryborough (Qld),319051524,Inner Regional Australia,2019 July,154,,34314654106,State,,152.703888,-25.546785
14,2017,Aldridge State High School,State High School,Open,,,Year 7,Year 12,Principal,11,2020-05-22T00:00:00,www.aldridgeshs.eq.edu.au,(07) 4120 8444,N,(07) 4120 8400,,Boys Avenue,Maryborough,4650,PO Box 3061,Pallas Street,Maryborough,4650,North Coast,Wide Bay,Maryborough,Fraser Coast (R),Maryborough (Qld),319051524,Inner Regional Australia,2019 July,926,,12686626457,State,,152.688545,-25.516557
15,1963,Alexandra Bay State School,State School,Open,,,Early Childhood,Year 6,Principal,5,2020-07-20T00:00:00,www.alexbayss.eq.edu.au,(07) 4098 9137,N,(07) 4098 9182,,Lot 1 Cape Tribulation Road,Diwan,4873,PMB 21,Cape Tribulation Road,Via Mossman,4873,Far North Queensland,Leichhardt,Cook,Douglas (S),Daintree,306041164,Remote Australia,2019 July,27,,53750286398,State,,145.42225,-16.213862
16,2175,Alexandra Hills State High School,State High School,Open,,,Year 7,Year 12,Principal,11,2020-08-10T00:00:00,www.alexandrahillsshs.eq.edu.au,(07) 3820 1444,N,(07) 3820 1400,,Windemere Road,Alexandra Hills,4161,PO Box 234,Capalaba,,4157,South East,Bowman,Capalaba,Redland (C),Alexandra Hills,301011001,Major Cities of Australia,2019 July,1469,,41363280419,State,,153.215428,-27.523768
17,405,Alexandra Hills State School,State School,Open,,,Prep Year,Year 6,Principal,7,2020-08-10T00:00:00,www.alexandrahillsss.eq.edu.au,(07) 3820 0333,N,(07) 3820 0300,,12 Princeton Avenue,Alexandra Hills,4161,PO Box 5503,Alexandra Hills,,4161,South East,Bowman,Capalaba,Redland (C),Alexandra Hills,301011001,Major Cities of Australia,2019 July,180,,60250447132,State,,153.221279,-27.518141
18,1866,Algester State School,State School,Open,,,Prep Year,Year 6,Principal,10,2020-08-12T00:00:00,www.algesterss.eq.edu.au,(07) 3712 5111,N,(07) 3712 5100,,19 Endiandra Street,Algester,4115,PO Box 5121,Algester,,4115,Metropolitan,Rankin,Algester,Brisbane (C),Algester,303051072,Major Cities of Australia,2019 July,991,,70943736702,State,,153.031915,-27.615675
19,5369,All Hallows' School (Brisbane),Non-State School,Open,,,Year 5,Year 12,Principal,,,www.ahs.qld.edu.au,(07) 3831 3100,,(07) 3832 6140,,547 Ann Street,Brisbane,4000,547 Ann Street,Brisbane,,4000,Metropolitan,Brisbane,McConnel,Brisbane (C),Fortitude Valley,305011106,Major Cities of Australia,,,,,Non-State,Catholic,153.032816,-27.460894
20,5452,All Saints Anglican School (Merrimac),Non-State School,Open,,,Prep Year,Year 12,Headmaster,,,www.asas.qld.edu.au,(07) 5530 2855,,(07) 5530 3314,,Highfield Drive,Merrimac,4226,Highfield Drive,Merrimac,,4226,South East,Mcpherson,Mudgeeraba,Gold Coast (C),Merrimac,309081260,Major Cities of Australia,,,,,Non-State,Independent,153.361156,-28.060893
21,5600,All Saints Primary School (Albany Creek),Non-State School,Open,,,Prep Year,Year 6,Principal,,,www.allsaints.qld.edu.au,(07) 3325 6900,,(07) 3264 5877,,4 Faheys Road East,Albany Creek,4035,4 Faheys Road East,Albany Creek,,4035,Metropolitan,Dickson,Everton,Moreton Bay (R),Albany Creek,314011382,Major Cities of Australia,,,,,Non-State,Catholic,152.970693,-27.350094
